google_index,page_rank,nb_www,domain_age,ratio_digits_url,domain_in_title,nb_hyperlinks,phish_hints,ip,status
1,4,1,5056,0.0,0,17,0,0,0
1,2,0,5767,0.220779221,1,30,0,1,1
1,0,0,4004,0.150793651,1,4,0,1,1
0,3,0,5056,0.0,1,149,0,0,0
0,6,1,8175,0.0,0,102,0,0,0
1,0,0,5056,0.0,1,10,0,0,1
0,1,1,7529,0.0,0,98,0,0,0
1,2,1,5767,0.259259259,1,30,0,1,1
0,5,0,7298,0.0,1,63,0,0,0
0,5,0,9368,0.076923077,1,140,1,0,0
0,2,1,5056,0.0,1,15,0,0,0
0,6,1,7911,0.186046512,1,88,0,0,0
0,4,0,1505,0.012048193,1,325,0,0,0
1,4,0,1761,0.064516129,1,3,0,0,1
0,2,1,2041,0.0,0,211,0,0,0
0,4,0,3892,0.019607843,1,50,0,0,1
0,4,1,8301,0.0,1,125,0,0,0
1,0,0,2316,0.06,1,23,0,0,1
1,0,1,2935,0.0,1,0,0,0,1
0,2,1,3932,0.148148148,1,219,0,0,0
0,5,1,8759,0.0,0,147,0,0,0
0,6,0,5647,0.0,1,77,0,0,0
1,0,0,1184,0.1,1,13,0,0,1
0,4,0,3476,0.0,1,59,0,0,0
1,0,0,3993,0.095238095,1,51,0,1,1
1,5,0,7296,0.0,1,21,0,0,1
0,4,1,6989,0.0,1,115,0,0,0
0,5,1,4845,0.0,1,68,0,0,0
1,0,0,3993,0.161764706,1,51,0,1,1
1,0,1,5056,0.398773006,1,31,1,1,1
0,4,1,1170,0.0,0,95,0,0,0
1,1,0,1237,0.34375,1,36,0,1,1
1,5,0,5627,0.25,1,21,0,1,1
1,0,0,3767,0.0,1,3,0,0,1
0,7,0,9316,0.212121212,0,105,0,1,0
0,4,1,7849,0.0,1,16,0,0,0
0,2,1,3920,0.0,1,417,0,0,1
0,8,0,5159,0.0,1,27,0,0,0
0,3,1,5056,0.0,1,160,0,0,0
0,7,0,5230,0.0,1,183,1,0,0
1,1,0,3125,0.0,1,23,4,0,1
1,4,0,5026,0.0,1,1,0,0,1
1,2,1,2300,0.295918367,1,22,2,1,1
0,2,0,2580,0.0,0,35,0,0,0
0,7,0,5825,0.0,0,265,0,0,0
1,4,0,8019,0.030534351,1,26,0,0,1
0,6,1,7839,0.0,0,279,0,0,0
1,0,0,2306,0.0,1,7,0,0,1
0,6,1,5056,0.133333333,1,420,0,0,0
1,0,0,1500,0.270440252,1,13,0,1,1
1,6,1,2739,0.227272727,1,43,0,1,1
1,2,0,134,0.077669903,1,64,0,0,1
1,5,0,7802,0.0,1,0,0,0,1
0,7,0,7133,0.0,1,253,0,0,0
1,2,1,1690,0.0,1,91,0,0,1
1,0,1,1588,0.0,1,184,0,0,1
1,2,1,5767,0.283950617,1,30,0,1,1
0,5,0,7615,0.0,1,83,0,0,0
0,10,0,8348,0.0,1,27,2,0,1
1,10,0,8348,0.0808080809999999,1,27,1,0,1
1,4,1,6989,0.0,1,118,0,0,0
